ID;nacimiento;ingresos;hijos;antiguedad;ultima_compra;queja;monto;num_desc;num_web;num_cat;num_local;num_vis;respuesta
1618;1965;140115;0;24;9;0;103800;2;10;1;8;8;0
3332;1985;74400;1;28;87;0;24750;4;3;1;4;8;0
2261;1969;65760;1;19;5;0;2400;1;1;0;2;7;0
5346;1973;58898;1;18;87;0;11850;3;3;0;3;7;0
4119;1963;96550;0;20;56;0;47700;1;2;5;3;3;0
535;1987;203403;0;10;18;0;116700;1;3;10;13;1;0
5268;1960;73600;2;17;95;0;8400;2;1;0;4;7;0
273;1970;90345;2;18;48;0;22650;5;3;1;4;7;0
4452;1957;125970;1;7;3;0;55800;4;6;1;6;7;1
8504;1973;198983;0;8;70;0;204900;1;5;6;7;2;0
771;1967;135445;1;11;79;0;29100;1;2;2;5;2;0
8996;1957;;3;26;4;0;90450;10;7;2;8;9;0
9235;1957;;2;7;45;0;2700;1;1;0;2;7;0
5798;1973;;0;13;87;0;147750;1;2;4;8;1;0
11178;1972;105985;1;9;69;0;4800;1;1;0;3;7;0
2230;1970;59065;1;7;84;0;6450;3;3;1;3;5;0
7516;1983;75240;1;7;30;0;6750;1;2;0;3;6;0
7247;1960;119790;1;26;72;0;90900;5;7;4;6;6;1
11100;1972;129533;2;21;37;0;9450;2;2;0;3;7;0
4646;1951;196243;0;13;44;0;146700;1;5;7;12;2;0
3037;1983;125375;0;19;32;0;61500;2;5;2;7;5;0
1473;1960;119558;1;18;0;0;10800;2;2;0;3;8;0
1016;1959;86385;1;9;43;0;8250;2;2;0;3;6;0
4518;1979;214233;1;21;59;0;175350;2;9;5;11;5;0
9370;1945;164615;0;20;68;0;168000;1;6;3;6;4;0
8908;1959;217988;0;8;35;0;164550;1;3;11;5;1;0
8373;1979;61485;1;13;94;0;4350;1;1;0;3;5;0
7533;1964;122740;2;15;15;0;28050;4;4;1;4;7;0
2683;1969;131033;2;23;56;0;136500;4;6;4;12;6;1
3629;1978;96393;1;25;17;0;21750;2;3;1;3;7;0
10991;1960;222645;0;25;18;0;127500;1;5;4;4;2;0
5077;1979;193245;1;14;46;0;145350;1;6;6;11;3;0
7431;1991;170315;0;26;40;0;273000;1;7;4;5;9;0
3267;1963;143220;1;6;27;0;91200;3;8;1;8;6;0
999;1991;215093;0;24;95;0;109500;1;6;7;11;3;0
9215;1980;109935;1;25;19;0;82650;5;6;4;6;7;1
2286;1962;126963;2;16;27;0;17100;2;2;1;3;6;0
1592;1970;226913;0;11;25;0;258600;0;4;6;5;1;0
367;1978;91375;1;23;74;0;86550;5;9;1;5;9;0
5234;1967;76883;2;18;85;0;12150;2;1;1;3;5;0
9862;1969;54795;1;14;37;0;4950;2;2;0;3;6;0
9805;1953;140323;1;19;65;0;99000;4;6;2;10;4;1
6205;1967;81393;1;10;13;0;12000;3;2;1;3;5;0
8442;1985;48775;2;16;63;0;4500;2;1;0;3;7;0
7386;1976;77480;1;21;83;0;6450;1;1;0;3;7;0
7215;1983;254925;0;22;69;0;170250;0;6;8;13;2;0
1491;1965;178720;0;23;87;0;83850;2;3;4;7;1;0
11071;1984;199018;0;21;37;0;288450;1;3;6;6;1;0
3381;1953;135870;2;7;51;0;13500;2;2;0;4;6;0
8268;1961;;1;18;23;0;60600;3;6;1;7;6;0
11051;1956;193440;2;8;72;0;99150;4;6;3;10;4;1
8026;1952;157495;1;15;10;0;69450;5;5;4;5;5;1
433;1958;153328;2;22;42;0;94800;5;11;1;6;8;1
9597;1969;183620;0;11;10;0;108750;1;7;2;9;4;0
1295;1963;;1;17;96;0;108750;1;6;5;7;4;0
5290;1964;103878;2;17;51;0;41850;5;5;1;5;8;1
1685;1967;157453;0;22;21;0;222300;1;4;5;13;3;0
5342;1976;23870;1;29;31;0;4350;2;1;0;3;8;0
9579;1959;84405;3;18;61;0;15900;3;2;2;2;8;0
7660;1973;89650;2;8;37;0;7350;2;1;1;2;5;0
1461;1965;92303;2;17;74;0;5700;2;2;0;3;7;0
821;1992;232148;0;27;46;0;311550;1;5;4;12;2;0
11084;1976;162760;1;14;4;0;157950;2;3;5;7;7;0
8690;1962;215278;0;21;73;0;207750;1;5;7;10;2;0
2937;1974;170880;1;16;47;0;130650;3;8;5;9;6;0
9701;1988;104708;1;22;13;0;46800;3;4;2;3;7;0
9949;1976;149523;2;27;36;0;131550;3;3;3;6;8;0
10837;1975;59893;1;26;47;0;10200;1;2;0;3;6;0
3120;1981;96368;1;16;49;1;3300;1;1;0;2;8;0
5885;1973;89220;3;29;94;0;31650;7;4;1;4;8;0
4050;1966;124013;0;6;65;0;19050;1;2;1;4;3;0
3830;1953;148385;2;8;59;0;68850;1;4;4;7;3;0
7987;1969;164368;1;10;96;0;69000;4;8;1;6;6;1
7798;1972;115860;1;25;28;0;64350;4;7;1;5;7;1
92;1988;85440;1;8;12;0;13350;4;3;0;4;6;0
7055;1952;152525;1;27;57;0;153150;2;8;5;11;5;0
10240;1949;173430;0;23;10;0;207150;1;10;4;6;4;0
3025;1958;124918;1;18;4;0;45900;3;6;1;5;7;0
9283;1978;150498;3;16;49;0;2700;1;0;0;3;4;0
9970;1977;138438;1;15;3;0;24300;1;1;1;6;2;0
2730;1955;200793;0;17;64;0;184650;1;3;4;10;1;0
2795;1958;76308;3;18;0;0;1950;1;1;0;2;7;0
9260;1945;175890;0;26;20;0;255900;2;10;6;9;6;0
8182;1984;58070;1;12;91;0;18150;4;3;0;4;8;0
10095;1975;185413;0;20;9;0;193950;1;5;4;10;2;0
8475;1973;393108;1;10;98;0;241200;12;0;12;0;0;0
4370;1966;108705;3;14;83;0;13200;3;2;0;4;6;0
10573;1953;156378;0;14;27;0;63150;1;6;7;4;3;0
3712;1959;130830;0;16;63;0;38850;1;3;2;6;4;0
6637;1988;167378;0;14;46;0;167550;1;3;4;7;1;0
3152;1957;65228;2;10;84;0;13350;3;2;1;3;5;0
5610;1965;83640;2;8;58;0;5400;2;1;0;3;7;0
6460;1982;71795;1;18;78;0;8550;2;2;0;3;8;0
1349;1970;126118;2;8;4;0;22200;1;3;1;3;6;0
1880;1959;133843;2;11;17;0;13950;2;2;1;3;5;0
641;1967;130185;1;9;77;0;17850;1;2;2;2;4;0
8717;1975;201068;1;28;56;0;275250;1;11;8;8;5;0
10314;1948;209593;0;25;79;0;197700;1;9;10;5;4;0
10854;1970;97133;2;7;90;0;6750;2;2;0;3;7;0
10492;1959;95713;3;6;96;0;1500;1;0;0;3;2;0
6935;1951;196243;0;13;44;0;146700;1;5;7;12;2;0
7698;1976;129125;1;8;81;0;28650;1;4;1;4;5;0
3559;1988;40620;1;8;77;0;8550;3;2;1;3;6;0
10562;1946;167088;0;15;21;0;154950;1;6;4;13;2;0
10796;1984;76193;1;11;16;0;9900;1;1;1;3;6;0
2563;1961;70623;0;7;80;0;6450;1;2;0;3;6;0
3518;1983;63178;1;25;45;0;7500;1;1;1;2;9;0
5823;1970;80758;1;10;63;0;5850;2;1;0;4;5;0
3934;1966;153215;1;17;34;0;91200;2;7;1;8;5;0
6982;1976;185170;0;22;14;0;237150;1;4;10;9;2;0
6431;1964;114398;2;23;13;0;10200;2;2;0;3;7;1
9733;1978;62205;1;28;52;0;12000;1;1;1;2;6;0
5602;1989;167433;0;20;98;0;192300;1;8;7;12;3;0
7829;1960;91600;1;15;99;1;9750;1;2;1;2;5;0
1324;1988;97180;1;19;93;0;13650;2;3;0;3;8;0
326;1973;127870;2;23;38;0;47250;4;5;1;6;6;1
7224;1977;78383;2;12;24;0;4650;2;1;1;2;8;0
6999;1980;174153;0;8;80;0;125100;1;7;3;12;3;0
9938;1954;200168;0;16;82;0;240000;1;4;6;6;2;0
6422;1954;216795;0;24;20;0;190500;1;5;6;5;2;0
3182;1973;117135;2;9;81;0;39450;6;5;1;3;8;0
7300;1952;172855;1;6;50;0;80250;3;8;1;7;5;0
10424;1968;189805;0;13;60;0;194250;1;4;4;9;1;0
8727;1978;159233;1;15;63;0;172500;3;11;6;9;6;0
2798;1977;255400;0;26;54;0;186000;0;7;9;10;4;0
1030;1965;101593;2;18;72;0;5700;2;1;0;3;7;0
624;1984;47225;0;26;5;0;5250;1;0;1;2;6;0
5176;1988;74010;1;13;88;0;7950;1;1;0;3;9;0
5552;1963;121803;2;20;50;0;43950;6;4;2;5;6;1
868;1966;111985;1;7;99;0;9750;1;2;0;3;6;0
380;1954;161243;1;28;17;0;270600;5;11;4;9;8;1
2677;1956;115243;1;21;11;0;36150;5;3;1;6;4;1
6521;1954;194930;0;10;18;0;165150;1;4;6;9;1;0
6927;1968;110943;2;27;70;0;39600;8;5;1;5;8;1
2877;1974;115035;2;24;21;0;81150;9;7;1;8;7;1
0;1985;177378;0;20;66;0;179700;1;3;4;9;1;0
1584;1977;103608;1;9;79;0;72300;6;8;1;5;8;1
7264;1978;130488;3;8;2;0;2550;1;1;0;2;8;0
6274;1948;209475;0;14;81;0;242250;1;8;10;6;3;0
1377;1954;111378;1;16;24;0;42750;2;4;1;5;7;0
454;1980;173770;1;26;48;0;170250;2;11;4;11;6;0
1755;1988;113010;1;9;93;0;17100;1;1;1;4;3;0
2075;1969;181150;0;14;56;0;157050;1;3;5;7;1;0
4785;1970;194055;2;9;3;0;107100;2;6;3;11;3;0
9076;1980;76830;1;24;44;0;27750;4;4;1;4;8;0
7079;1962;159718;1;28;38;0;186750;5;9;6;12;6;1
4653;1978;105028;1;22;46;0;28350;4;3;1;4;8;0
7375;1976;128423;1;27;84;0;86400;2;8;2;4;8;0
709;1952;128843;1;25;27;0;165450;3;2;2;11;8;0
460;1972;199825;0;29;72;0;262950;1;3;5;8;2;0
3726;1986;85800;1;11;66;0;2550;1;1;0;2;8;0
6798;1966;92675;2;22;30;0;64950;9;5;1;8;7;0
5341;1962;204938;1;24;2;0;238200;1;6;3;4;7;0
1606;1971;96475;1;20;65;0;3300;1;1;0;2;8;0
9617;1951;37583;0;9;37;0;2850;1;1;0;3;3;0
3233;1965;156863;1;22;89;0;167550;3;7;8;11;5;0
89;1975;55530;1;13;49;0;10350;2;2;0;4;6;0
2936;1982;59153;1;13;46;0;3450;1;1;0;3;7;0
9449;1958;199403;1;15;32;0;90750;1;5;2;11;3;0
7297;1973;28750;1;12;54;0;8550;4;3;1;3;7;0
11004;1993;150455;1;8;23;0;3300;1;1;0;2;4;0
313;1968;183638;0;14;98;0;313200;1;6;5;10;3;0
9940;1958;162403;1;25;97;0;151350;2;6;4;4;3;0
10735;1971;57010;1;17;75;0;3900;1;2;0;2;9;0
9529;1990;184218;0;13;8;0;244050;1;3;9;9;2;0
6439;1958;152685;1;29;37;0;165300;7;11;5;8;7;1
7411;1964;79215;2;7;31;0;2550;2;1;0;3;6;0
2176;1972;200335;1;20;40;0;253500;2;5;3;6;6;0
9265;1953;187568;1;24;74;0;208500;2;9;4;6;5;0
8867;1988;168865;0;28;90;0;318900;1;4;10;5;3;0
8932;1969;162940;1;26;57;0;229650;4;9;6;6;6;1
10236;1975;77900;1;16;59;0;9600;2;2;0;3;8;0
6340;1985;74845;1;14;52;0;3900;2;1;0;3;6;0
10089;1974;256730;0;21;5;0;166800;1;6;9;13;2;0
2227;1958;66225;0;28;92;0;31500;2;3;1;5;6;0
10992;1967;189255;2;28;77;0;172200;5;4;6;11;8;1
5304;1974;77248;1;27;35;0;4950;2;1;0;3;6;0
309;1961;158355;1;27;48;0;165150;3;8;3;5;6;0
3406;1964;114973;1;27;97;0;48300;4;3;2;7;3;1
2661;1964;46753;2;19;95;0;6600;4;2;0;4;5;0
3153;1957;101843;3;13;24;0;2550;1;1;0;2;8;0
10264;1979;38218;1;27;60;0;4650;2;1;1;2;7;0
1184;1968;174185;2;20;46;0;126750;3;10;2;10;5;0
4200;1970;110398;1;7;85;0;41250;4;4;1;6;5;1
9396;1978;94293;1;26;31;0;3750;1;1;0;2;9;0
2387;1952;109440;2;23;9;0;41250;6;5;2;4;8;0
6690;1966;95448;2;22;30;0;13500;4;3;1;3;7;0
1225;1963;200310;0;6;47;0;224250;1;3;7;8;1;0
9703;1970;95243;2;27;70;0;27600;4;3;2;2;7;0
291;1970;182350;0;19;13;0;147150;1;3;3;6;1;0
4557;1970;55175;1;15;11;0;10050;2;2;2;2;6;0
2379;1953;173168;0;28;31;0;245250;2;3;4;5;7;0
5726;1983;79470;1;10;15;1;9000;3;3;0;4;5;0
3066;1975;154763;1;11;2;0;34650;2;4;2;4;5;0
6336;1960;73288;2;9;55;0;7200;4;2;0;4;6;0
10967;1963;83445;2;23;38;0;14850;3;2;0;4;7;0
2304;1963;165783;1;16;86;0;115500;2;6;3;12;4;0
3445;1956;151785;0;24;56;0;143550;2;7;4;10;5;0
7828;1981;194705;0;8;29;0;122700;1;3;3;5;1;0
3762;1986;174668;0;21;30;0;138750;1;3;5;8;1;0
4391;1968;159603;1;21;64;0;136200;1;9;3;9;6;0
4669;1981;61200;1;23;46;0;15300;3;3;0;4;7;0
10144;1976;128423;1;27;84;0;86400;2;8;2;4;8;0
8652;1946;94400;0;28;20;0;47550;2;4;1;6;7;0
1672;1974;164100;1;10;74;0;69150;1;5;1;8;2;0
8962;1975;110798;2;9;18;0;5550;2;2;0;3;5;0
9974;1974;76578;1;18;75;0;10500;1;3;1;2;7;0
10983;1952;188195;0;23;17;0;139500;1;6;3;13;3;0
8148;1956;127245;2;24;88;0;128850;11;6;2;12;5;1
10102;1966;199865;0;8;19;0;221700;1;5;11;5;3;0
4697;1949;88540;0;19;62;0;58500;3;7;1;5;8;0
9262;1984;81035;0;18;11;0;7800;1;1;0;3;7;0
7254;1969;95903;1;12;74;0;20550;3;3;1;3;7;0
4543;1980;206243;0;26;32;0;287850;1;2;7;9;4;0
4927;1971;41565;2;12;76;0;10200;3;3;0;3;9;0
10451;1965;74180;2;22;6;0;3750;1;0;0;3;6;1
2926;1952;139878;1;29;62;0;206100;3;3;6;11;8;0
2874;1988;88470;1;22;20;0;4800;1;1;0;3;7;0
9738;1986;105965;1;24;43;0;15000;1;3;0;3;8;0
7119;1982;171568;0;24;45;0;123750;1;2;3;6;1;0
3924;1965;144780;1;10;34;0;137400;5;8;3;12;5;1
5827;1958;88115;2;9;53;0;9300;4;3;1;3;5;0
5596;1956;147053;1;15;44;0;109200;1;9;2;9;6;0
10812;1978;115943;1;10;89;0;13500;1;2;1;3;4;0
1717;1988;99368;1;9;43;0;40950;3;5;1;4;8;0
9491;1984;59940;1;12;68;0;9900;3;3;1;3;7;0
9274;1961;202375;0;21;44;0;181950;1;6;7;9;2;0
6609;1966;67595;0;28;64;0;16050;1;3;0;3;9;0
6963;1947;193643;0;10;85;0;173550;1;2;5;10;1;0
4440;1964;160250;1;16;93;0;81900;1;8;3;6;7;0
1379;1992;106675;0;20;12;0;36150;1;4;2;4;4;0
10032;1976;31428;1;12;86;0;7950;4;3;1;3;6;0
2826;1967;56435;3;14;28;0;5550;2;2;0;3;7;0
2437;1989;;0;19;69;0;241650;1;6;5;12;3;0
6320;1976;177233;0;23;42;0;226200;1;6;6;10;3;0
3050;1966;135495;2;13;13;0;35250;6;3;1;6;4;1
231;1956;72098;2;10;86;0;4800;2;2;0;3;5;0
2392;1972;100803;2;17;59;0;15300;2;3;0;3;7;0
9478;1985;166258;1;29;30;0;60150;2;4;3;6;3;0
113;1951;77083;2;18;33;0;4200;2;1;0;3;5;0
2863;1970;;3;17;67;0;157800;6;2;3;10;7;0
1802;1971;161988;1;24;23;0;102000;3;3;3;12;2;0
520;1974;86053;1;18;81;0;4500;1;1;0;2;7;0
8275;1965;117563;2;11;6;0;3000;1;1;0;2;7;0
9750;1961;160813;1;23;41;0;196050;5;10;3;5;7;1
2607;1953;101160;1;24;78;0;94500;6;8;2;8;8;1
7214;1957;155468;0;18;49;0;192450;1;4;8;5;3;0
5835;1976;37123;1;18;39;0;9750;3;2;0;4;8;0
3896;1984;68138;1;14;3;0;5550;1;1;0;3;7;0
10350;1950;136080;3;20;37;0;5700;1;1;0;3;4;0
7786;1986;74998;1;23;22;0;24000;4;3;1;4;8;0
2861;1983;60180;1;21;79;0;3450;1;1;0;2;8;0
663;1989;84990;0;16;46;0;10650;1;1;1;3;4;0
10675;1956;165835;1;21;82;0;174150;2;9;3;5;5;0
2521;1971;87945;1;24;10;0;8850;1;1;1;2;7;0
9592;1983;55025;1;18;51;0;4950;2;2;0;3;8;0
10151;1960;155510;2;28;38;0;141900;1;4;5;12;3;0
7381;1968;189233;0;25;10;0;216300;1;11;4;6;4;0
4099;1972;76688;1;26;14;0;9300;1;1;0;3;8;0
9560;1965;207508;0;22;18;0;251100;1;7;6;8;3;0
1150;1999;208830;0;15;36;0;277950;1;4;6;4;1;0
10172;1988;171638;0;29;95;0;230700;1;4;5;11;3;0
11191;1986;103528;0;13;11;0;20850;1;2;1;4;6;0
9707;1969;138030;1;26;65;0;177300;3;4;2;11;8;0
6245;1950;148230;1;19;71;0;76050;2;3;5;8;3;0
8234;1973;67975;1;17;13;0;2700;1;1;0;2;8;0
1411;1952;206558;0;14;58;0;141000;1;2;9;4;1;0
8553;1965;110750;2;19;65;0;6300;2;1;0;3;6;0
1826;1970;212088;0;7;0;0;178500;1;4;4;6;1;0
8842;1971;75930;2;25;33;0;6600;3;2;0;3;7;0
11030;1976;82953;1;12;90;0;2400;1;1;0;2;6;0
2579;1957;177783;1;13;95;0;125250;4;6;7;9;4;1
175;1986;179880;1;24;93;0;216450;2;8;4;8;4;0
9185;1966;174398;0;14;38;0;154350;3;4;6;5;3;0
11056;1974;180248;0;27;18;0;178200;1;3;4;10;1;0
9365;1976;150000;1;25;57;0;191550;5;11;3;5;6;1
6201;1978;96608;2;13;45;1;7350;2;2;0;3;7;0
2061;1955;126843;1;20;61;0;14850;1;2;0;4;6;1
6184;1969;171155;0;25;6;0;250500;1;3;3;8;1;0
6142;1943;162683;0;17;65;1;135000;1;5;3;5;2;0
4107;1948;116703;2;15;52;0;63750;2;4;6;4;5;0
7274;1957;196545;0;27;87;0;322950;1;4;7;10;2;0
9336;1969;155468;1;9;38;0;95400;3;6;2;10;4;0
2958;1978;71105;2;10;53;0;8550;3;2;1;4;4;0
933;1978;94293;1;26;31;0;3750;1;1;0;2;9;0
5837;1967;128698;2;24;67;0;74100;7;6;3;6;7;1
10704;1969;137008;1;29;65;0;103950;2;6;2;9;4;0
5125;1960;198825;0;20;64;0;202200;1;4;10;11;2;0
4432;1976;79038;1;22;82;0;7650;2;2;0;3;7;0
5955;1962;180063;0;26;27;0;289800;1;4;3;8;3;0
2928;1975;131535;1;25;63;0;148500;2;2;4;8;8;0
5680;1984;89210;1;8;66;0;4500;1;1;0;3;6;0
10313;1975;120445;2;26;69;0;38100;6;5;1;4;8;0
2557;1970;73870;1;16;52;0;4350;1;1;1;2;4;0
1245;1966;159525;1;26;45;0;205650;4;4;3;12;8;1
1519;1972;96445;2;19;2;0;10950;3;3;0;3;8;0
10703;1975;115245;2;29;86;0;18000;4;3;2;2;8;0
1726;1970;56463;0;22;23;0;12150;1;1;1;2;9;0
4459;1989;75698;1;24;13;0;5550;1;1;0;3;8;0
1729;1961;166065;1;15;14;0;206550;2;3;5;10;6;0
1517;1969;77055;1;19;92;0;7650;1;1;0;3;7;0
2098;1969;83953;2;24;38;0;2550;1;1;0;2;8;0
9543;1985;49965;1;14;74;0;3300;1;0;0;3;7;0
6878;1954;68553;0;25;14;0;48600;3;4;1;6;7;0
3310;1973;89220;3;29;94;0;31650;7;4;1;4;8;0
2724;1981;90358;1;9;33;0;2850;1;0;1;2;3;0
948;1971;25613;1;20;32;0;6150;3;1;2;2;5;0
6720;1968;109488;1;15;11;0;73800;3;7;3;4;7;0
6202;1960;158453;1;27;78;0;150750;4;4;5;13;2;1
2066;1949;97058;1;28;56;0;17100;1;2;1;3;6;0
9799;1968;209160;2;20;57;0;175950;3;2;2;12;5;0
8318;1979;225750;0;12;7;0;260700;0;5;6;8;1;0
5642;1979;156248;1;13;0;0;33300;2;3;1;6;4;0
2669;1993;185733;0;8;66;0;169050;1;5;4;6;2;0
455;1946;127530;0;21;86;0;31350;1;4;1;4;6;0
7683;1968;176943;1;10;80;0;118050;3;5;3;12;3;0
3428;1991;171705;0;15;56;0;239700;1;4;9;10;2;0
7414;1971;109560;2;28;18;0;27900;4;3;1;4;8;0
6354;1984;38363;1;28;51;0;7050;2;1;1;2;8;0
798;1987;58605;1;25;71;0;4050;1;1;0;3;7;0
8213;1980;36288;1;26;71;0;14400;4;2;2;3;7;0
2488;1956;78488;2;22;80;0;9600;4;2;1;3;6;0
9999;1965;188190;0;28;2;0;156000;1;9;4;9;5;0
7617;1974;105933;2;17;83;0;24450;5;2;1;5;5;1
615;1960;76268;0;22;29;0;51450;1;5;1;4;7;0
2552;1955;138803;3;15;11;0;66900;9;6;3;6;7;1
194;1965;120015;2;7;55;0;6150;1;1;0;3;6;0
3645;1972;68033;1;28;19;0;10500;3;2;0;4;8;0
8890;1971;164520;2;7;1;0;40800;3;5;1;5;6;0
5049;1974;75878;1;19;19;0;6900;1;3;0;2;9;0
9973;1963;126093;2;27;28;0;73500;3;7;1;8;7;0
7301;1982;59040;1;26;76;0;11850;2;3;0;3;8;0
10882;1976;134645;1;26;50;0;137250;4;4;3;6;4;1
7030;1955;166163;1;21;1;0;222750;3;11;9;12;6;0
7422;1987;117308;1;29;90;0;55350;3;5;1;7;7;0
3523;1962;187680;1;24;83;0;160950;2;5;4;8;3;0
7106;1943;189663;0;9;73;0;186300;1;3;5;10;1;0
6504;1975;49473;1;14;24;0;11700;3;2;1;3;5;0
5067;1994;200335;0;11;11;0;206700;1;2;7;11;5;0
4216;1981;227663;0;23;33;0;221100;1;7;9;9;3;0
8581;1971;123763;2;22;4;0;112650;9;10;2;8;8;1
5929;1973;93503;1;8;14;0;7200;2;2;0;3;7;0
3129;1983;75240;1;7;30;0;6750;1;2;0;3;6;0
6528;1982;46230;1;7;75;0;1500;1;1;0;2;8;0
1361;1974;206460;0;19;26;0;215250;1;3;4;8;1;0
6932;1941;232568;0;21;77;0;317850;0;7;10;5;2;0
7284;1953;121715;3;13;8;0;3000;1;1;0;2;8;0
1340;1986;232275;0;8;42;0;269250;1;6;7;13;1;0
8746;1989;188583;1;9;28;0;178200;2;2;5;10;6;0
5987;1989;26010;1;8;52;0;6450;2;1;0;4;5;0
3767;1968;153285;1;21;1;0;151200;2;5;5;12;3;0
3725;1961;212163;0;20;1;0;253200;1;2;4;9;4;0
4324;1989;105968;1;26;42;0;102600;5;8;1;7;8;1
238;1967;168273;2;24;76;0;162300;12;9;6;9;7;1
6694;1964;188090;1;13;27;0;160200;1;8;3;13;4;0
498;1970;75038;1;11;28;0;8550;2;1;0;4;5;0
